Source,Bias,Quality
ABC,-1.8459999999999996,49.866499999999995
AP,-1.0632608695652173,52.189130434782605
axios,-5.737857142857143,47.30357142857143
BBC,-3.033333333333333,46.266666666666666
Bloomberg,-0.850344827586207,47.52275862068965
BreitbartNews,18.98785714285714,30.63714285714286
businessinsider,-0.378,43.28333333333333
BuzzFeed,-7.061333333333334,43.16733333333333
CBSNews,-1.8461538461538463,46.83923076923077
CNN,-8.553827160555556,40.48771604925926
cnsnews,25.75,27.75
csmonitor,-0.20529411764705885,44.26529411764706
thedailybeast,-12.039230769230768,38.800769230769234
DailyCaller,20.061333333333334,28.8
DailySignal,19.97266666666667,30.410666666666664
democracynow,-16.710666666666665,37.544
FT,0.6215384615384616,47.4676923076923
TheFiscalTimes,1.5219999999999998,44.54466666666667
Forbes,0.20285714285714299,39.84499999999999
ForeignPolicy,-1.6493333333333333,41.69199999999999
FortuneMagazine,0.42928571428571427,45.09499999999999
jdforward,-5.6875,37.125
FoxNews,18.49882629112676,30.076478873380285
freespeechtv,-18.742,29.95
HuffPost,-11.639333333333333,40.17266666666667
TheIJR,6.725,44.308
latimes,-3.063103448275862,49.086551724137934
MSNBC,-10.882870370277779,41.214120370555555
MarketWatch,-0.5421428571428571,45.10785714285714
MotherJones,-13.917333333333334,40.324666666666666
NPR,-2.7333333333333334,50.21666666666667
NRO,16.233571428571427,30.948571428571427
newrepublic,-12.825333333333333,36.03
nypost,5.154285714285714,42.41642857142857
nytimes,-4.011904761904762,47.542
newsmax,9.940714285714288,36.02357142857143
ozy,-5.431875,40.8025
OANN,11.259,35.884
PBS,-2.3705555555555557,47.78666666666666
politico,-5.238666666666666,46.45
propublica,-5.932666666666667,48.14466666666667
qz,-3.8946666666666667,41.26133333333334
reason,4.12,38.282000000000004
Reuters,-0.9497777777777778,51.78511111111111
Slate,-14.928571428571429,34.19714285714286
TPM,-5.672,42.244
TheAtlantic,-6.410714285714286,40.589285714285715
theblaze,15.7,32.756
TheEconomist,-2.434285714285714,42.185
FDRLST,21.857142857142858,26.41714285714286
thehill,0.08866666666666667,46.256
thenation,-16.891538461538463,33.54461538461538
NewYorker,-6.9,41.828
TheWeek,-8.309000000000001,33.977999999999994
thinkprogress,-19.116,35.85
TIME,-4.346666666666667,42.49999999999999
USATODAY,-2.033333333333333,46.11666666666667
VanityFair,-14.75,35.22461538461538
voxdotcom,-8.75,42.32714285714285
WSJ,1.894222222222222,48.520222222222216
dcexaminer,12.16625,35.485
FreeBeacon,16.708125,36.1875
washingtonpost,-4.179887640449438,44.56730337078652
WashTimes,12.966666666666667,37.228
weatherchannel,-2.434,51.3
