* PowderSprgsNews, 217469130 - Inactive

* WindyCityTimes, 30284449 - Active

* SCMPNews, 23922797 - Active

* CMAGAdFacts, 25156677 - Inactive

* TheNextAmerica, 555453339 - Inactive

* CWoodHolladay, 36880297 - Active

* TVilleJournal, 36964009 - Active

* SPGMI_Energy, 158802394 - Active

* SommesNY, 747790156724310016 - Inactive

* AKpublicnews, 14065981 - Active

* AroundOsceola, 34297914 - Active

* SValleyJournal, 36957232 - Active

* guardonline, 16690762 - Inactive

* AdairProgress, 1923870288 - Inactive

* LacledeNews, 295863836 - Active

* CTV, 132240374 - Active

* ContempoCLE, 37954510 - Active

* SierraSunNews, 30063861 - Active

* MurrayJournal, 36882692 - Active

* DraperJournal, 36881133 - Active

* WJordanJournal, 36964818 - Active

* tbocom, 14247572 - Active

* SandyCityNews, 36955564 - Active

* Enumclaw_CH, 221516558 - Inactive

* bopinion, 227682918 - Active

* FranklinPark_HJ, 759937597 - Inactive

* RF_ForestLeaves, 759955015 - Inactive

* friscoupdates, 776753443 - Inactive

* SWMTmagazine, 604002966 - Inactive

* AldenAdvertiser, 2820539070 - Inactive

* daily_targum, 25813998 - Active

* ActualidadRT, 100731315 - Active

* RTUKnews, 83638901 - Active

* weekenderNEPA, 20281416 - Active

* svbizjournal, 17625154 - Active

* TaxNotes, 461219840 - Active

* cspanMusic, 336039467 - Active

* CSPANinfo, 576520016 - Active

* CSPANnow, 372390671 - Active

* SentinelColo, 29295613 - Active

* Tagesspiegel, 22926365 - Active

* usatodayopinion, 133052366 - Active

* HC_Spire, 337844940 - Active

* MDEdgeTweets, 19347202 - Active

* DailySundial, 16191278 - Active

* RawDailyTimes, 587836016 - Inactive

* ChanhassenNews, 19679080 - Inactive

* TBRNewsMedia, 245492384 - Active

* TWCBreaking, 116559622 - Active

* twc_hurricane, 313537605 - Inactive

* BBCArabic, 52032722 - Active

* CNNEE, 33884545 - Active

* cnnarabic, 66591836 - Active

* bbcpersian, 790728 - Active

* koreatimescokr, 552548889 - Active

* celocal, 1602044551 - Active

* PublisherBHL, 112490345 - Active

* TheLamarTimes, 41663511 - Active

* SlateCulture, 234402376 - Active

* WVNews247, 273969007 - Active

* TN_15157214143, 3577755135 - Active

* TheHendNews, 217150116 - Active

* TheFranklinSun, 921407492 - Inactive

* RaytownEagle, 1858945328 - Inactive

* GlobalTV, 26528121 - Active

* HeraldLNCitizen, 418791562 - Active

* MartyBudner, 277010391 - Active

* TheReaderMag, 21816904 - Inactive

* DenverCitizen, 621150853 - Active

* jcsentinel, 87527900 - Active

* LFSCConnection, 303923391 - Active

* Followfairfax, 49796166 - Active

* ViennaConnect, 303924438 - Inactive

* RestonConnect, 303921179 - Inactive

* BurkeConnection, 303854335 - Inactive

* HuffPostLive, 849960753566232576 - Inactive

* ceoupdate, 27639378 - Active

* BloombergEnv, 41847726 - Active

* newrepublic, 82689705 - Active

* TheConcordBU, 1960205916 - Inactive

* Brands_group, 1055697092 - Inactive

* BillOReilly, 23970102 - Active

* NLLeaderNews, 733708079728975872 - Active

* pressenterprise, 15937533 - Active

* dohanews, 23123824 - Active

* PharmExec, 20147730 - Active

* myheraldreview, 18282010 - Active

* ClovisIndypaper, 3246275240 - Inactive

* ElNuevoDia, 15726324 - Active

* RFI_English, 17870319 - Active

* TOIIndianAbroad, 30847736 - Active

* ConsumerReports, 16193528 - Active

* kyunghyang, 118720645 - Active

* NBCNews, 14173315 - Active

* ArgusMedia, 50611261 - Active

* cgtnamerica, 620136960 - Active

* theprospect, 15949696 - Active

* CRTV, 753385398718521344 - Active

* BroadbandCensus, 21225135 - Active

* featurestory, 19273804 - Active

* kwtx, 12469012 - Active

* anadoluagency, 240265305 - Active

* BloombergBNA, 459277523 - Active

* ELTIEMPO, 9633802 - Active

* DefenseOne, 1433356862 - Active

* estrellatv, 145862542 - Active

* ampublictv, 14796038 - Active

* dpa, 40227292 - Active

* defense_news, 21312961 - Active

* Circa, 441389311 - Active

* ORF, 1192686992 - Active

* ntvde, 19232587 - Active

* JTBC_news, 397672819 - Active

* EUROPOLITICS_sa, 1731731006 - Active

* DailyMail, 380285402 - Active

* DefenseDaily, 33201624 - Active

* Cosmopolitan, 23482952 - Active

* elsalvadorcom, 81986272 - Active

* FrontlineMedCom, 33533010 - Active

* La_SER, 43910684 - Active

* EENewsUpdates, 90614279 - Active

* AKEnergyDesk, 803742214811623425 - Active

* nationaljournal, 15210284 - Active

* UnivisionNews, 1596835069 - Active

* Groupe_TVA, 480569368 - Active

* MNINews, 71321874 - Active

* PGCTV, 163927728 - Active

* CrainComm, 523211135 - Active

* akahata_PR, 174574802 - Active

* GOVERNING, 25334900 - Active

* InsideElections, 397291925 - Active

* cqresearcher, 18993741 - Active

* COPublicRadio, 36190699 - Active

* Gannett, 245407446 - Active

* euronews, 25067168 - Active

* telesurenglish, 296005306 - Active

* FERNnews, 185817496 - Active

* clarincom, 8105922 - Active

* NTDChinese, 171636258 - Active

* ians_india, 141584822 - Active

* FT, 18949452 - Active

* BloombergTV, 35002876 - Active

* AargauerZeitung, 145213073 - Active

* McClatchyDC, 17487795 - Active

* DRNyheder, 14987451 - Active

* CQRollCall, 410216127 - Active

* derfreitag, 14613514 - Active

* CatalunyaRadio, 7679392 - Active

* FoxBusiness, 56413858 - Active

* Comm_Daily, 498991565 - Active

* alhayatdaily, 177941018 - Active

* hsfi, 39540130 - Active

* MinnPost, 14801219 - Active

* insideGNSS, 852268453817962503 - Active

* TheDealNewsroom, 314005753 - Active

* IDGWorld, 65480056 - Active

* CNEWS, 18396319 - Active

* wtimespolitics, 762231576 - Active

* IHSEnergyDaily, 351684372 - Active

* NYTmag, 16929600 - Active

* Recode, 2244340904 - Active

* nflnetwork, 19362299 - Active

* Notimex, 19889168 - Active

* tv_asahi_news, 237619547 - Active

* 47abc, 110771229 - Active

* RealClearNews, 20094138 - Active

